ID,IC,FII,body_part,dry_weight
1,0,24,NA,5.21
1,0,24,dryrest,6.8
1,0,24,drytotal,12.01
2,0,53,drythor,4.31
2,0,53,dryrest,5.95
2,0,53,drytotal,10.26
3,0,64,drythor,5.08
3,0,64,dryrest,5.74
3,0,64,drytotal,10.82
4,0,25,drythor,4.92
4,0,25,dryrest,6.98
NA,0,25,drytotal,NA
5,0,42,drythor,5.08
5,0,42,dryrest,6.75
5,0,42,drytotal,11.83
6,0,43,drythor,5.16
6,0,43,dryrest,6.86
6,0,43,drytotal,12.02
8,NA,50,drythor,5.48
NA,0,50,dryrest,7.7
8,0,50,drytotal,13.18
10,0,63,drythor,5.8
10,0,63,dryrest,6.16
10,NA,63,drytotal,11.96
11,0,24,drythor,5.39
11,0,24,dryrest,NA
11,0,24,drytotal,12.28
12,0,19,drythor,4.74
12,0,19,dryrest,5.47
12,0,19,NA,10.21
13,0,31,drythor,4.54
13,0,31,dryrest,5.38
13,0,31,drytotal,9.92
14,0,43,DRYTHOR,5.79
14,0,43,DRYREST,5.89
14,0,43,drytotal,11.68
15,0,38,drythor,4.73
15,0,38,DRYREST,5.32
15,0,38,drytotal,10.05
16,0,22,drythor,5.25
16,0,22,dryrest,NA
16,0,NA,drytotal,11.86
17,0,27,drythor,3.95
17,0,27,dryrest,3.81
17,0,27,drytotal,7.76
18,0,35,drythor,5.86
NA,0,35,dryrest,7.6
18,0,35,drytotal,13.46
19,0,34,NA,4.76
19,0,34,dryrest,5.76
19,0,34,drytotal,10.52
20,0,50,drythor,5.49
20,0,50,dryrest,6.95
20,0,50,drytotal,12.44
21,NA,50,drythor,4.74
21,0,50,dryrest,4.89
21,0,50,drytotal,9.63
22,0.25,39,drythor,5.27
22,0.25,39,dryrest,5.77
22,0.25,39,drytotal,11.04
23,0.25,56,drythor,6.32
23,0.25,56,dryrest,6.71
23,0.25,56,drytotal,13.03
24,0.25,56,drythor,6.21
24,0.25,56,dryrest,9.02
24,NA,56,drytotal,15.23
27,NA,53,drythor,5.77
27,0.375,53,dryrest,6.85
27,0.375,53,drytotal,12.62
28,0.375,18,drythor,5.72
28,0.375,18,dryrest,6.79
28,0.375,18,NA,12.51
30,0.375,35,NA,5.39
30,0.375,35,dryrest,5.59
30,0.375,35,drytotal,10.98
31,0,42,drythor,5.24
31,0,42,NA,6.58
31,0,42,drytotal,11.82
NA,0,40,NA,4.14
32,0,40,dryrest,6.53
32,0,40,drytotal,10.67
33,0,62,drythor,3.89
33,0,62,dryrest,4.58
33,0,62,drytotal,8.47
35,0,31,drythor,5.99
35,0,31,dryrest,10.22
35,0,31,NA,16.21
39,0,41,drythor,5.25
39,0,41,dryrest,8.39
39,0,41,drytotal,13.64
40,0,48,drythor,4.97
40,0,48,dryrest,NA
40,0,48,drytotal,10.16
41,0,42,drythor,4.68
41,0,42,dryrest,8.69
41,0,42,drytotal,13.37
42,0,48,drythor,5.57
42,NA,48,dryrest,7.35
42,0,48,drytotal,12.92
43,0,35,drythor,4.43
43,0,35,dryrest,5.46
43,0,35,drytotal,9.89
44,0,44,drythor,4.47
44,0,44,dryrest,5.32
44,0,44,drytotal,9.79
45,NA,35,NA,5.85
45,0,35,dryrest,7.46
45,0,35,drytotal,13.31
46,0,40,drythor,5.13
46,0,40,dryrest,7.15
46,0,40,drytotal,12.28
47,0,NA,drythor,4.57
47,0,27,dryrest,8.33
47,0,27,drytotal,12.9
48,0,35,drythor,5.73
48,0,NA,dryrest,7.21
48,0,35,drytotal,NA
49,0,27,drythor,NA
49,0,27,dryrest,7.84
49,0,27,drytotal,13.62
50,0.25,35,drythor,5.4
NA,0.25,35,dryrest,8.97
50,0.25,35,drytotal,14.37
51,0.25,41,drythor,4.92
51,0.25,41,dryrest,5.98
51,0.25,NA,drytotal,10.9
52,0.25,57,drythor,6.09
52,0.25,57,dryrest,9.58
52,NA,57,DRYTOTAL,15.67
NA,0.25,67,drythor,5.6
53,0.25,67,dryrest,7.68
53,0.25,67,drytotal,13.28
55,0.25,35,drythor,4.74
55,0.25,35,dryrest,6.71
55,0.25,35,drytotal,11.45
56,0.25,55,drythor,NA
56,0.25,55,dryrest,5.27
56,NA,55,drytotal,10.829999999999998
57,0.25,37,drythor,5.47
57,0.25,37,DRYREST,NA
57,0.25,37,drytotal,13.489999999999998
58,0.25,37,drythor,5.26
58,0.25,37,dryrest,7.17
58,0.25,37,drytotal,12.43
59,0,69,drythor,5.09
59,0,69,dryrest,6.2
59,0,69,drytotal,11.29
60,0.375,66,drythor,5.35
60,0.375,66,dryrest,7.81
60,0.375,66,drytotal,13.16
NA,0.375,52,drythor,6.52
61,0.375,52,dryrest,8.47
61,0.375,52,drytotal,14.99
62,0.375,68,drythor,3.64
62,0.375,68,dryrest,3.35
NA,0.375,68,drytotal,6.99
63,0.375,52,drythor,3.95
63,0.375,52,dryrest,5.97
63,NA,52,drytotal,9.92
NA,0.375,41,drythor,5.79
65,0.375,41,dryrest,9.49
65,0.375,41,drytotal,15.28
66,0.375,57,drythor,5.24
66,0.375,57,DRYREST,7.79
66,0.375,NA,drytotal,13.03
67,0.25,62,drythor,5.04
67,0.25,62,dryrest,6.72
67,0.25,62,drytotal,11.76
68,0.25,54,drythor,4.94
68,0.25,54,dryrest,NA
68,0.25,54,drytotal,11.16
69,0.25,83,drythor,4.44
NA,0.25,83,dryrest,4.71
69,0.25,83,drytotal,9.15
70,0.25,29,drythor,5.03
70,0.25,29,dryrest,8.51
70,0.25,29,drytotal,13.54
71,0.25,23,drythor,5.26
71,0.25,23,NA,8.98
71,0.25,23,drytotal,14.24
72,0.25,84,drythor,5.29
72,0.25,84,dryrest,8.6
72,0.25,84,drytotal,NA
73,0.25,20,drythor,5.27
73,0.25,20,dryrest,6.2
73,0.25,20,drytotal,11.47
75,0.25,NA,drythor,5.27
75,0.25,43,dryrest,NA
75,0.25,43,drytotal,12.95
76,0.25,98,DRYTHOR,4.63
76,0.25,98,dryrest,5.72
76,0.25,98,drytotal,10.35
77,0.25,23,drythor,5.74
77,0.25,23,dryrest,6.68
77,0.25,23,drytotal,12.42
NA,0.25,28,drythor,6.3
78,0.25,28,dryrest,10.24
78,0.25,28,drytotal,16.54
79,0.25,24,drythor,5.37
79,0.25,24,dryrest,9.34
79,NA,24,drytotal,14.71
80,0,60,drythor,5.79
80,NA,60,dryrest,10.03
80,0,60,drytotal,15.82
81,0,72,drythor,4.85
81,0,72,dryrest,6.03
81,0,72,drytotal,10.88
82,0,55,drythor,3.93
82,0,55,dryrest,5.92
82,0,55,drytotal,9.85
83,0,46,NA,5.69
83,0,46,dryrest,12.02
83,0,46,drytotal,17.71
84,0,70,drythor,5.78
84,0,70,dryrest,12.06
84,0,NA,NA,17.84
85,0,43,drythor,5.56
85,0,43,dryrest,11.41
85,0,43,drytotal,NA
86,NA,22,drythor,5.61
86,0,22,dryrest,10.78
86,0,22,drytotal,16.39
87,0,68,drythor,5.83
87,0,NA,dryrest,5.74
87,0,68,drytotal,11.57
88,0,21,drythor,5.68
88,0,21,dryrest,6.22
88,0,21,drytotal,11.9
90,0,28,drythor,5.21
90,0,28,dryrest,6.32
90,0,28,drytotal,11.53
91,NA,42,NA,5.62
91,0,42,dryrest,7.89
91,0,42,drytotal,13.51
92,0,54,drythor,4.75
92,0,54,dryrest,8.73
92,0,54,drytotal,13.48
93,0,46,drythor,5.47
